uniprot_accession,interaction_count,n_compounds,compounds,symbol,geneid,pathway_count,n_pathways,pathways,pathway_compounds,total_count,source,n_go_terms,go_ids,go_names,go_bp_ids,go_bp_names,go_mf_ids,go_mf_names,go_cc_ids,go_cc_names
Q13907,0,2,Rosuvastatin;atorvastatin,IDI1,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,14,GO:0004452;GO:0005777;GO:0005829;GO:0006695;GO:0008299;GO:0009240;GO:0010142;GO:0016860;GO:0033386;GO:0033489;GO:0033490;GO:0035634;GO:0036197;GO:0050992,"cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cytosol;dimethylallyl diphosphate biosynthetic process;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;intramolecular oxidoreductase activity;isopentenyl diphosphate biosynthetic process;isopentenyl-diphosphate delta-isomerase activity;isoprenoid biosynthetic process;peroxisome;response to stilbenoid;zymosterol biosynthetic process",GO:0006695;GO:0008299;GO:0009240;GO:0010142;GO:0033386;GO:0033489;GO:0033490;GO:0035634;GO:0036197;GO:0050992,"cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;dimethylallyl diphosphate biosynthetic process;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process;isoprenoid biosynthetic process;response to stilbenoid;zymosterol biosynthetic process",GO:0004452;GO:0016860,intramolecular oxidoreductase activity;isopentenyl-diphosphate delta-isomerase activity,GO:0005777;GO:0005829,cytosol;peroxisome
Q14534,0,2,Rosuvastatin;atorvastatin,SQLE,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,18,GO:0004506;GO:0005515;GO:0005783;GO:0005789;GO:0006695;GO:0008203;GO:0016020;GO:0016126;GO:0033489;GO:0033490;GO:0036197;GO:0042127;GO:0043231;GO:0050660;GO:0071949;GO:0098554;GO:0140042;GO:1904614,FAD binding;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cholesterol metabolic process;cytoplasmic side of endoplasmic reticulum membrane;endoplasmic reticulum;endoplasmic reticulum membrane;flavin adenine dinucleotide binding;intracellular membrane-bounded organelle;lipid droplet formation;membrane;protein binding;regulation of cell population proliferation;response to biphenyl;squalene monooxygenase activity;sterol biosynthetic process;zymosterol biosynthetic process,GO:0006695;GO:0008203;GO:0016126;GO:0033489;GO:0033490;GO:0036197;GO:0042127;GO:0140042;GO:1904614,cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cholesterol metabolic process;lipid droplet formation;regulation of cell population proliferation;response to biphenyl;sterol biosynthetic process;zymosterol biosynthetic process,GO:0004506;GO:0005515;GO:0050660;GO:0071949,FAD binding;flavin adenine dinucleotide binding;protein binding;squalene monooxygenase activity,GO:0005783;GO:0005789;GO:0016020;GO:0043231;GO:0098554,cytoplasmic side of endoplasmic reticulum membrane;endoplasmic reticulum;endoplasmic reticulum membrane;intracellular membrane-bounded organelle;membrane
Q15125,0,2,Rosuvastatin;atorvastatin,EBP,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,19,GO:0000247;GO:0004769;GO:0005515;GO:0005635;GO:0005783;GO:0005789;GO:0006695;GO:0008203;GO:0016020;GO:0016125;GO:0016863;GO:0031410;GO:0031965;GO:0033489;GO:0033490;GO:0033963;GO:0042802;GO:0043931;GO:0047750,"C-8 sterol isomerase activity;cholestenol delta-isomerase activity;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cholesterol metabolic process;cholesterol-5,6-oxide hydrolase activity;cytoplasmic vesicle;endoplasmic reticulum;endoplasmic reticulum membrane;identical protein binding;intramolecular oxidoreductase activity, transposing C=C bonds;membrane;nuclear envelope;nuclear membrane;ossification involved in bone maturation;protein binding;steroid Delta-isomerase activity;sterol metabolic process",GO:0006695;GO:0008203;GO:0016125;GO:0033489;GO:0033490;GO:0043931,cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cholesterol metabolic process;ossification involved in bone maturation;sterol metabolic process,GO:0000247;GO:0004769;GO:0005515;GO:0016863;GO:0033963;GO:0042802;GO:0047750,"C-8 sterol isomerase activity;cholestenol delta-isomerase activity;cholesterol-5,6-oxide hydrolase activity;identical protein binding;intramolecular oxidoreductase activity, transposing C=C bonds;protein binding;steroid Delta-isomerase activity",GO:0005635;GO:0005783;GO:0005789;GO:0016020;GO:0031410;GO:0031965,cytoplasmic vesicle;endoplasmic reticulum;endoplasmic reticulum membrane;membrane;nuclear envelope;nuclear membrane
Q15126,0,2,Rosuvastatin;atorvastatin,PMVK,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,17,GO:0004631;GO:0005515;GO:0005524;GO:0005737;GO:0005777;GO:0005829;GO:0006695;GO:0010142;GO:0016020;GO:0016126;GO:0019287;GO:0033386;GO:0033489;GO:0033490;GO:0036197;GO:0070062;GO:0070723,"ATP binding;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cytoplasm;cytosol;extracellular exosome;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, mevalonate pathway;membrane;peroxisome;phosphomevalonate kinase activity;protein binding;response to cholesterol;sterol biosynthetic process;zymosterol biosynthetic process",GO:0006695;GO:0010142;GO:0016126;GO:0019287;GO:0033386;GO:0033489;GO:0033490;GO:0036197;GO:0070723,"cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;farnesyl diphosphate biosynthetic process, mevalonate pathway;geranylgeranyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, mevalonate pathway;response to cholesterol;sterol biosynthetic process;zymosterol biosynthetic process",GO:0004631;GO:0005515;GO:0005524,ATP binding;phosphomevalonate kinase activity;protein binding,GO:0005737;GO:0005777;GO:0005829;GO:0016020;GO:0070062,cytoplasm;cytosol;extracellular exosome;membrane;peroxisome
Q15392,0,2,Rosuvastatin;atorvastatin,DHCR24,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,22,GO:0000139;GO:0000246;GO:0005515;GO:0005634;GO:0005783;GO:0005789;GO:0006695;GO:0007265;GO:0008202;GO:0008285;GO:0009725;GO:0009888;GO:0016020;GO:0016628;GO:0019899;GO:0033489;GO:0033490;GO:0042605;GO:0043588;GO:0050614;GO:0050660;GO:0071949,"Delta24(24-1) sterol reductase activity;Delta24-sterol reductase activity;FAD binding;Golgi membrane;Ras protein signal transduction;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;endoplasmic reticulum;endoplasmic reticulum membrane;enzyme binding;flavin adenine dinucleotide binding;membrane;negative regulation of cell population proliferation;nucleus;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;peptide antigen binding;protein binding;response to hormone;skin development;steroid metabolic process;tissue development",GO:0006695;GO:0007265;GO:0008202;GO:0008285;GO:0009725;GO:0009888;GO:0033489;GO:0033490;GO:0043588,Ras protein signal transduction;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;negative regulation of cell population proliferation;response to hormone;skin development;steroid metabolic process;tissue development,GO:0000246;GO:0005515;GO:0016628;GO:0019899;GO:0042605;GO:0050614;GO:0050660;GO:0071949,"Delta24(24-1) sterol reductase activity;Delta24-sterol reductase activity;FAD binding;enzyme binding;flavin adenine dinucleotide binding;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;peptide antigen binding;protein binding",GO:0000139;GO:0005634;GO:0005783;GO:0005789;GO:0016020,Golgi membrane;endoplasmic reticulum;endoplasmic reticulum membrane;membrane;nucleus
Q15738,0,2,Rosuvastatin;atorvastatin,NSDHL,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,14,GO:0000252;GO:0003854;GO:0005515;GO:0005783;GO:0005789;GO:0005811;GO:0006694;GO:0006695;GO:0008203;GO:0016616;GO:0033489;GO:0033490;GO:0036197;GO:0102175,"3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity;3-beta-hydroxysteroid dehydrogenase (NAD+)/C4-decarboxylase activity;3-beta-hydroxysteroid dehydrogenase [NAD(P)+]/C4-decarboxylase activity;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cholesterol metabolic process;endoplasmic reticulum;endoplasmic reticulum membrane;lipid droplet;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;protein binding;steroid biosynthetic process;zymosterol biosynthetic process",GO:0006694;GO:0006695;GO:0008203;GO:0033489;GO:0033490;GO:0036197,cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;cholesterol metabolic process;steroid biosynthetic process;zymosterol biosynthetic process,GO:0000252;GO:0003854;GO:0005515;GO:0016616;GO:0102175,"3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity;3-beta-hydroxysteroid dehydrogenase (NAD+)/C4-decarboxylase activity;3-beta-hydroxysteroid dehydrogenase [NAD(P)+]/C4-decarboxylase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;protein binding",GO:0005783;GO:0005789;GO:0005811,endoplasmic reticulum;endoplasmic reticulum membrane;lipid droplet
Q15800,0,2,Rosuvastatin;atorvastatin,MSMO1,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,13,GO:0000254;GO:0005506;GO:0005515;GO:0005783;GO:0005789;GO:0005886;GO:0006631;GO:0006695;GO:0008202;GO:0008610;GO:0016020;GO:0033489;GO:0036197,C-4 methylsterol oxidase activity;cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;endoplasmic reticulum;endoplasmic reticulum membrane;fatty acid metabolic process;iron ion binding;lipid biosynthetic process;membrane;plasma membrane;protein binding;steroid metabolic process;zymosterol biosynthetic process,GO:0006631;GO:0006695;GO:0008202;GO:0008610;GO:0033489;GO:0036197,cholesterol biosynthetic process;cholesterol biosynthetic process via desmosterol;fatty acid metabolic process;lipid biosynthetic process;steroid metabolic process;zymosterol biosynthetic process,GO:0000254;GO:0005506;GO:0005515,C-4 methylsterol oxidase activity;iron ion binding;protein binding,GO:0005783;GO:0005789;GO:0005886;GO:0016020,endoplasmic reticulum;endoplasmic reticulum membrane;membrane;plasma membrane
Q16850,0,2,Rosuvastatin;atorvastatin,CYP51A1,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,19,GO:0004497;GO:0005506;GO:0005789;GO:0006694;GO:0006695;GO:0008398;GO:0016020;GO:0016125;GO:0016491;GO:0016705;GO:0016712;GO:0020037;GO:0033488;GO:0033489;GO:0033490;GO:0036197;GO:0042177;GO:0050709;GO:1900222,"cholesterol biosynthetic process;cholesterol biosynthetic process via 24,25-dihydrolanosterol;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;endoplasmic reticulum membrane;heme binding;iron ion binding;membrane;monooxygenase activity;negative regulation of amyloid-beta clearance;negative regulation of protein catabolic process;negative regulation of protein secretion;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;steroid biosynthetic process;sterol 14-demethylase activity;sterol metabolic process;zymosterol biosynthetic process",GO:0006694;GO:0006695;GO:0016125;GO:0033488;GO:0033489;GO:0033490;GO:0036197;GO:0042177;GO:0050709;GO:1900222,"cholesterol biosynthetic process;cholesterol biosynthetic process via 24,25-dihydrolanosterol;cholesterol biosynthetic process via desmosterol;cholesterol biosynthetic process via lathosterol;negative regulation of amyloid-beta clearance;negative regulation of protein catabolic process;negative regulation of protein secretion;steroid biosynthetic process;sterol metabolic process;zymosterol biosynthetic process",GO:0004497;GO:0005506;GO:0008398;GO:0016491;GO:0016705;GO:0016712;GO:0020037,"heme binding;iron ion binding;monooxygenase activity;oxidoreductase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen;sterol 14-demethylase activity",GO:0005789;GO:0016020,endoplasmic reticulum membrane;membrane
Q9BWD1,0,2,Rosuvastatin;atorvastatin,ACAT2,,2,2,PathBank:SMP0000092;PathBank:SMP0000131,Rosuvastatin;atorvastatin,2,pathway_predominant,10,GO:0003985;GO:0005515;GO:0005737;GO:0005829;GO:0006629;GO:0006631;GO:0010142;GO:0016746;GO:0016747;GO:0070062,"acetyl-CoA C-acetyltransferase activity;acyltransferase activity;acyltransferase activity, transferring groups other than amino-acyl groups;cytoplasm;cytosol;extracellular exosome;farnesyl diphosphate biosynthetic process, mevalonate pathway;fatty acid metabolic process;lipid metabolic process;protein binding",GO:0006629;GO:0006631;GO:0010142,"farnesyl diphosphate biosynthetic process, mevalonate pathway;fatty acid metabolic process;lipid metabolic process",GO:0003985;GO:0005515;GO:0016746;GO:0016747,"acetyl-CoA C-acetyltransferase activity;acyltransferase activity;acyltransferase activity, transferring groups other than amino-acyl groups;protein binding",GO:0005737;GO:0005829;GO:0070062,cytoplasm;cytosol;extracellular exosome
A4D1D2,0,1,atorvastatin,ABCB1,,1,1,PharmGKB:PA145011109,atorvastatin,1,pathway_predominant,8,GO:0005524;GO:0005886;GO:0016020;GO:0016887;GO:0045332;GO:0055085;GO:0090554;GO:0140359,ABC-type transporter activity;ATP binding;ATP hydrolysis activity;membrane;phosphatidylcholine floppase activity;phospholipid translocation;plasma membrane;transmembrane transport,GO:0045332;GO:0055085,phospholipid translocation;transmembrane transport,GO:0005524;GO:0016887;GO:0090554;GO:0140359,ABC-type transporter activity;ATP binding;ATP hydrolysis activity;phosphatidylcholine floppase activity,GO:0005886;GO:0016020,membrane;plasma membrane
B4DGA9,0,1,atorvastatin,,,1,1,PharmGKB:PA145011109,atorvastatin,1,pathway_predominant,0,,,,,,,,
P16662,0,1,atorvastatin,UGT2B7,,1,1,PharmGKB:PA145011109,atorvastatin,1,pathway_predominant,9,GO:0001972;GO:0005789;GO:0006629;GO:0006805;GO:0008194;GO:0008209;GO:0008210;GO:0015020;GO:0016020,UDP-glycosyltransferase activity;androgen metabolic process;endoplasmic reticulum membrane;estrogen metabolic process;glucuronosyltransferase activity;lipid metabolic process;membrane;retinoic acid binding;xenobiotic metabolic process,GO:0006629;GO:0006805;GO:0008209;GO:0008210,androgen metabolic process;estrogen metabolic process;lipid metabolic process;xenobiotic metabolic process,GO:0001972;GO:0008194;GO:0015020,UDP-glycosyltransferase activity;glucuronosyltransferase activity;retinoic acid binding,GO:0005789;GO:0016020,endoplasmic reticulum membrane;membrane
Q05CV5,0,1,atorvastatin,SLCO1B1,,1,1,PharmGKB:PA145011109,atorvastatin,1,pathway_predominant,4,GO:0005886;GO:0016020;GO:0022857;GO:0055085,membrane;plasma membrane;transmembrane transport;transmembrane transporter activity,GO:0055085,transmembrane transport,GO:0022857,transmembrane transporter activity,GO:0005886;GO:0016020,membrane;plasma membrane
Q6NWU0,0,1,atorvastatin,CYP2D6,,1,1,PharmGKB:PA145011109,atorvastatin,1,pathway_predominant,7,GO:0004497;GO:0005506;GO:0005789;GO:0016020;GO:0016705;GO:0016712;GO:0020037,"endoplasmic reticulum membrane;heme binding;iron ion binding;membrane;monooxygenase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",,,GO:0004497;GO:0005506;GO:0016705;GO:0016712;GO:0020037,"heme binding;iron ion binding;monooxygenase activity;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",GO:0005789;GO:0016020,endoplasmic reticulum membrane;membrane
