action,actname,actvalue,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
Simvastatin results in decreased expression of A2M mRNA,,,54454,"Kalyanasundaram A, Elmore JR, Manazer JR, Golden A, Franklin DP, Galt SW, Zakhary EMA, Carey DJ. Simvastatin suppresses experimental aortic aneurysm expansion. Journal of Vascular Surgery. 2006 Jan;43(1):117–117.e39. doi: 10.1016/j.jvs.2005.08.007.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:16414398,https://www.ncbi.nlm.nih.gov/pubmed/16414398,2,A2M,10564525,,16414398,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2,A2M,https://ctdbase.org/detail.go?type=gene&acc=2,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in decreased expression of ABCA1 mRNA,,,54454,"Beverly BE, Lambright CS, Furr JR, Sampson H, Wilson VS, McIntyre BS, Foster PM, Travlos G, Gray LE. Simvastatin and dipentyl phthalate lower ex vivo testicular testosterone production and exhibit additive effects on testicular testosterone and gene expression via distinct mechanistic pathways in the fetal rat. Toxicol Sci. 2014 Oct;141(2):524–37. PMID: 25055962; PMCID: PMC4200049.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:25055962,https://www.ncbi.nlm.nih.gov/pubmed/25055962,19,ABCA1,12758740,PMC4200049,25055962,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,10116,Rattus norvegicus (Norway rat)
,,,54454,,Simvastatin,Drug Gene Interaction database (DGIdb),,,19,ABCA1,,,,,,6225,481107565,,https://www.dgidb.org/drugs/rxcui:36567,,ABCA1,https://www.dgidb.org/genes/hgnc:29,SIMVASTATIN,9606,Homo sapiens (human)
Simvastatin results in decreased expression of ABCA1 mRNA,,,54454,"van der Weide K, de Jonge-Peeters SD, Kuipers F, de Vries EG, Vellenga E. Combining simvastatin with the farnesyltransferase inhibitor tipifarnib results in an enhanced cytotoxic effect in a subset of primary CD34+ acute myeloid leukemia samples. Clin Cancer Res. 2009 May 01;15(9):3076–83. doi: 10.1158/1078-0432.ccr-08-3004. PMID: 19383813.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:19383813,https://www.ncbi.nlm.nih.gov/pubmed/19383813,19,ABCA1,11280040,,19383813,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of ABCA1,,,54454,"Dong W, Vuletic S, Albers JJ. Differential effects of simvastatin and pravastatin on expression of Alzheimer's disease-related genes in human astrocytes and neuronal cells. Journal of Lipid Research. 2009 Oct;50(10):2095–102. doi: 10.1194/jlr.m900236-jlr200.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:19461118,https://www.ncbi.nlm.nih.gov/pubmed/19461118,19,ABCA1,26867523,PMC2739764,19461118,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in increased expression of ABCA1 mRNA,,,54454,"Guan JZ, Tamasawa N, Murakami H, Matsui J, Tanabe J, Matsuki K, Yamashita M, Suda T. HMG-CoA reductase inhibitor, simvastatin improves reverse cholesterol transport in type 2 diabetic patients with hyperlipidemia. J Atheroscler Thromb. 2008 Feb;15(1):20–5. doi: 10.5551/jat.e512. PMID: 18270459.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18270459,https://www.ncbi.nlm.nih.gov/pubmed/18270459,19,ABCA1,33562386,,18270459,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of ABCA1 mRNA,,,54454,"van der Weide K, de Jonge-Peeters S, Huls G, Fehrmann RS, Schuringa JJ, Kuipers F, de Vries EG, Vellenga E. Treatment with high-dose simvastatin inhibits geranylgeranylation in AML blast cells in a subset of AML patients. Exp Hematol. 2012 Mar;40(3):177–186.e6. doi: 10.1016/j.exphem.2011.11.008. PMID: 22120639.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:22120639,https://www.ncbi.nlm.nih.gov/pubmed/22120639,19,ABCA1,3831484,,22120639,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin results in increased expression of ABCA1 mRNA,,,54454,"Song G, Liu J, Zhao Z, Yu Y, Tian H, Yao S, Li G, Qin S. Simvastatin reduces atherogenesis and promotes the expression of hepatic genes associated with reverse cholesterol transport in apoE-knockout mice fed high-fat diet. Lipids in Health and Disease. 2011 Jan 18;10(1):8. doi: 10.1186/1476-511x-10-8.|Thelen KM, Rentsch KM, Gutteck U, Heverin M, Olin M, Andersson U, von Eckardstein A, Björkhem I, Lütjohann D. Brain Cholesterol Synthesis in Mice Is Affected by High Dose of Simvastatin but Not of Pravastatin. The Journal of Pharmacology and Experimental Therapeutics. 2006 Mar;316(3):1146–52. doi: 10.1124/jpet.105.094136.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:16282522|PMID:21241519,https://www.ncbi.nlm.nih.gov/pubmed/16282522|https://www.ncbi.nlm.nih.gov/pubmed/21241519,19,ABCA1,10650135|20028357,PMC3031258,16282522|21241519,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin results in increased expression of ABCA1 protein,,,54454,"Song G, Liu J, Zhao Z, Yu Y, Tian H, Yao S, Li G, Qin S. Simvastatin reduces atherogenesis and promotes the expression of hepatic genes associated with reverse cholesterol transport in apoE-knockout mice fed high-fat diet. Lipids in Health and Disease. 2011 Jan 18;10(1):8. doi: 10.1186/1476-511x-10-8.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:21241519,https://www.ncbi.nlm.nih.gov/pubmed/21241519,19,ABCA1,10650135,PMC3031258,21241519,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin inhibits the reaction [oxygen deficiency results in increased expression of AOC1 mrna],,,54454,"Girgis RE, Ma SF, Ye S, Grigoryev DN, Li D, Hassoun PM, Tuder RM, Johns RA, Garcia JG. Differential gene expression in chronic hypoxic pulmonary hypertension: effect of simvastatin treatment. Chest. 2005 Dec;128(6 Suppl):579S. doi: 10.1378/chest.128.6_suppl.579s. PMID: 16373842.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:16373842,https://www.ncbi.nlm.nih.gov/pubmed/16373842,26,AOC1,29471883,,16373842,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,26,AOC1,https://ctdbase.org/detail.go?type=gene&acc=26,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin results in increased expression of ACACB mRNA,,,54454,"Roglans N, Verd JC, Peris C, Alegret M, Vázquez M, Adzet T, Díaz C, Hernández G, Laguna JC, Sánchez RM. High doses of atorvastatin and simvastatin induce key enzymes involved in VLDL production. Lipids. 2002 May;37(5):445–54. doi: 10.1007/s11745-002-0916-0. PMID: 12056585.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:12056585,https://www.ncbi.nlm.nih.gov/pubmed/12056585,32,ACACB,21296534,,12056585,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,32,ACACB,https://ctdbase.org/detail.go?type=gene&acc=32,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin inhibits the reaction [TGFB1 results in increased expression of ACTA2 mrna],,,54454,"Watts KL, Sampson EM, Schultz GS, Spiteri MA. Simvastatin inhibits growth factor expression and modulates profibrogenic markers in lung fibroblasts. Am J Respir Cell Mol Biol. 2005 Apr;32(4):290–300. doi: 10.1165/rcmb.2004-0127oc. PMID: 15677772.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:15677772,https://www.ncbi.nlm.nih.gov/pubmed/15677772,59,ACTA2,3718063,,15677772,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,59,ACTA2,https://ctdbase.org/detail.go?type=gene&acc=59,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of ACTA2 protein,,,54454,"Vieira JM, Mantovani E, Rodrigues LT, Dellê H, Noronha IL, Fujihara CK, Zatz R. Simvastatin attenuates renal inflammation, tubular transdifferentiation and interstitial fibrosis in rats with unilateral ureteral obstruction. Nephrol Dial Transplant. 2005 Aug;20(8):1582–91. doi: 10.1093/ndt/gfh859. PMID: 15855201.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:15855201,https://www.ncbi.nlm.nih.gov/pubmed/15855201,59,ACTA2,7871603,,15855201,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,59,ACTA2,https://ctdbase.org/detail.go?type=gene&acc=59,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in increased expression of ACTB mRNA,,,54454,"Beverly BE, Lambright CS, Furr JR, Sampson H, Wilson VS, McIntyre BS, Foster PM, Travlos G, Gray LE. Simvastatin and dipentyl phthalate lower ex vivo testicular testosterone production and exhibit additive effects on testicular testosterone and gene expression via distinct mechanistic pathways in the fetal rat. Toxicol Sci. 2014 Oct;141(2):524–37. PMID: 25055962; PMCID: PMC4200049.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:25055962,https://www.ncbi.nlm.nih.gov/pubmed/25055962,60,ACTB,12758740,PMC4200049,25055962,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,60,ACTB,https://ctdbase.org/detail.go?type=gene&acc=60,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in increased expression of ACTN4 mRNA,,,54454,"Tonolo G, Velussi M, Brocco E, Abaterusso C, Carraro A, Morgia G, Satta A, Faedda R, Abhyankar A, Luthman H, Nosadini R. Simvastatin maintains steady patterns of GFR and improves AER and expression of slit diaphragm proteins in type II diabetes. Kidney Int. 2006 Jul;70(1):177–86. doi: 10.1038/sj.ki.5001515. PMID: 16710349.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:16710349,https://www.ncbi.nlm.nih.gov/pubmed/16710349,81,ACTN4,13963323,,16710349,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,81,ACTN4,https://ctdbase.org/detail.go?type=gene&acc=81,Simvastatin,9606,Homo sapiens (human)
"Simvastatin inhibits the reaction [lipopolysaccharide, E coli O55-B5 results in decreased expression of ADORA2B mrna]|simvastatin inhibits the reaction [lipopolysaccharide, E coli O55-B5 results in decreased expression of ADORA2B protein]",,,54454,"Li HX, Liang XY, Wu JH, Yuan YP, Gao Y, Cai SH. Simvastatin attenuates acute lung injury by activation of A2B adenosine receptor. Toxicol Appl Pharmacol. 2021 Jul 01;422():115460. doi: 10.1016/j.taap.2021.115460. PMID: 33774062.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:33774062,https://www.ncbi.nlm.nih.gov/pubmed/33774062,136,ADORA2B,11555826,,33774062,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,136,ADORA2B,https://ctdbase.org/detail.go?type=gene&acc=136,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin inhibits the reaction [glucose results in increased activity of PARP1 protein],,,54454,"Lin CL, Cheng H, Tung CW, Huang WJ, Chang PJ, Yang JT, Wang JY. Simvastatin reverses high glucose-induced apoptosis of mesangial cells via modulation of Wnt signaling pathway. Am J Nephrol. 2008;28(2):290–7. doi: 10.1159/000111142. PMID: 18004065.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18004065,https://www.ncbi.nlm.nih.gov/pubmed/18004065,142,PARP1,10584605,,18004065,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in increased cleavage of PARP1 protein,,,54454,"Ivanov VN, Hei TK. Regulation of apoptosis in human melanoma and neuroblastoma cells by statins, sodium arsenite and TRAIL: a role of combined treatment versus monotherapy. Apoptosis. 2011 Sep 11;16(12):1268–84. doi: 10.1007/s10495-011-0649-2.|Hwang KE, Na KS, Park DS, Choi KH, Kim BR, Shim H, Jeong ET, Kim HR. Apoptotic induction by simvastatin in human lung cancer A549 cells via Akt signaling dependent down-regulation of survivin. Invest New Drugs. 2011 Oct;29(5):945–52. doi: 10.1007/s10637-010-9450-2. PMID: 20464445.|Ghavami S, Mutawe MM, Hauff K, Stelmack GL, Schaafsma D, Sharma P, McNeill KD, Hynes TS, Kung SK, Unruh H, Klonisch T, Hatch GM, Los M, Halayko AJ. Statin-triggered cell death in primary human lung mesenchymal cells involves p53-PUMA and release of Smac and Omi but not cytochrome c. Biochimica et Biophysica Acta (BBA) - Molecular Cell Research. 2010 Apr;1803(4):452–67. doi: 10.1016/j.bbamcr.2009.12.005.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:20045437|PMID:20464445|PMID:21910007,https://www.ncbi.nlm.nih.gov/pubmed/20045437|https://www.ncbi.nlm.nih.gov/pubmed/20464445|https://www.ncbi.nlm.nih.gov/pubmed/21910007,142,PARP1,3126045|23502040|32241704,PMC4372201,20045437|20464445|21910007,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,Simvastatin,9606,Homo sapiens (human)
Pifithrin inhibits the reaction [simvastatin results in increased cleavage of PARP1 protein]|mevalonic acid inhibits the reaction [simvastatin results in increased cleavage of PARP1 protein],,,54454,"Ghavami S, Mutawe MM, Hauff K, Stelmack GL, Schaafsma D, Sharma P, McNeill KD, Hynes TS, Kung SK, Unruh H, Klonisch T, Hatch GM, Los M, Halayko AJ. Statin-triggered cell death in primary human lung mesenchymal cells involves p53-PUMA and release of Smac and Omi but not cytochrome c. Biochimica et Biophysica Acta (BBA) - Molecular Cell Research. 2010 Apr;1803(4):452–67. doi: 10.1016/j.bbamcr.2009.12.005.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:20045437,https://www.ncbi.nlm.nih.gov/pubmed/20045437,142,PARP1,32241704,,20045437,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,Simvastatin,9606,Homo sapiens (human)
Geranylgeranyl pyrophosphate inhibits the reaction [simvastatin promotes the reaction [TNFSF10 protein results in increased cleavage of PARP1 protein]]|tnfsf10 protein promotes the reaction [simvastatin results in increased cleavage of PARP1 protein]|mevalonic acid inhibits the reaction [simvastatin promotes the reaction [TNFSF10 protein results in increased cleavage of PARP1 protein]]|simvastatin promotes the reaction [TNFSF10 protein results in increased cleavage of PARP1 protein]|[simvastatin co-treated with TNFSF10 protein] results in increased cleavage of PARP1 protein|mevalonic acid inhibits the reaction [TNFSF10 protein promotes the reaction [simvastatin results in increased cleavage of PARP1 protein]]|geranylgeranyl pyrophosphate inhibits the reaction [TNFSF10 protein promotes the reaction [simvastatin results in increased cleavage of PARP1 protein]],,,54454,"Ivanov VN, Hei TK. Regulation of apoptosis in human melanoma and neuroblastoma cells by statins, sodium arsenite and TRAIL: a role of combined treatment versus monotherapy. Apoptosis. 2011 Sep 11;16(12):1268–84. doi: 10.1007/s10495-011-0649-2.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:21910007,https://www.ncbi.nlm.nih.gov/pubmed/21910007,142,PARP1,23502040,PMC4372201,21910007,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,Simvastatin,9606,Homo sapiens (human)
Simvastatin inhibits the reaction [coal ash results in increased expression of PARP1 protein modified form],,,54454,"Ferraro SA, Astort F, Yakisich JS, Tasat DR. Particulate matter cytotoxicity in cultured SH-SY5Y cells is modulated by simvastatin: Toxicological assessment for oxidative damage. Neurotoxicology. 2016 Mar;53():108–14. doi: 10.1016/j.neuro.2016.01.003. PMID: 26773838.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:26773838,https://www.ncbi.nlm.nih.gov/pubmed/26773838,142,PARP1,23590567,,26773838,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased cleavage of PARP1 mRNA,,,54454,"Carloni S, Mazzoni E, Cimino M, De Simoni MG, Perego C, Scopa C, Balduini W. Simvastatin reduces caspase-3 activation and inflammatory markers induced by hypoxia-ischemia in the newborn rat. Neurobiol Dis. 2006 Jan;21(1):119–26. doi: 10.1016/j.nbd.2005.06.014. PMID: 16054375.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:16054375,https://www.ncbi.nlm.nih.gov/pubmed/16054375,142,PARP1,22704055,,16054375,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in increased cleavage of PARP1 protein|igf1 protein inhibits the reaction [simvastatin results in increased cleavage of PARP1 protein],,,54454,"Bonifacio A, Sanvee GM, Brecht K, Kratschmar DV, Odermatt A, Bouitbir J, Krähenbühl S. IGF-1 prevents simvastatin-induced myotoxicity in C2C12 myotubes. Arch Toxicol. 2017 May;91(5):2223–34. doi: 10.1007/s00204-016-1871-z. PMID: 27734117.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:27734117,https://www.ncbi.nlm.nih.gov/pubmed/27734117,142,PARP1,10767368,,27734117,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin results in increased expression of ADRB1 mrna|simvastatin results in increased expression of ADRB1 protein,,,54454,"Yu JG, Sewright K, Hubal MJ, Liu JX, Schwartz LM, Hoffman EP, Clarkson PM. Investigation of gene expression in C(2)C(12) myotubes following simvastatin application and mechanical strain. J Atheroscler Thromb. 2009 Mar;16(1):21–9. PMID: 19262002; PMCID: PMC4079460.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:19262002,https://www.ncbi.nlm.nih.gov/pubmed/19262002,153,ADRB1,22758704,PMC4079460,19262002,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,153,ADRB1,https://ctdbase.org/detail.go?type=gene&acc=153,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin results in increased expression of AFP mRNA,,,54454,"Mazume H, Nakata K, Hida D, Hamasaki K, Tsuruta S, Nakao K, Kato Y, Eguchi K. Effect of simvastatin, a 3-hydroxy-3-methylglutaryl coenzyme A reductase inhibitor, on alpha-fetoprotein gene expression through interaction with the ras-mediated pathway. J Hepatol. 1999 May;30(5):904–10. doi: 10.1016/s0168-8278(99)80146-9. PMID: 10365819.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:10365819,https://www.ncbi.nlm.nih.gov/pubmed/10365819,174,AFP,4270927,,10365819,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,174,AFP,https://ctdbase.org/detail.go?type=gene&acc=174,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in increased expression of ACAN mRNA,,,54454,"Zhang H, Wang L, Park JB, Park P, Yang VC, Hollister SJ, La Marca F, Lin C. Intradiscal injection of simvastatin retards progression of intervertebral disc degeneration induced by stab injury. Arthritis Research & Therapy. 2009 Nov 13;11(6):r172. doi: 10.1186/ar2861.|Zhang H, Lin CY. Simvastatin stimulates chondrogenic phenotype of intervertebral disc cells partially through BMP-2 pathway. Spine (Phila Pa 1976). 2008 Jul 15;33(16):E525–31. doi: 10.1097/brs.0b013e31817c561b. PMID: 18628692.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18628692|PMID:19912653,https://www.ncbi.nlm.nih.gov/pubmed/18628692|https://www.ncbi.nlm.nih.gov/pubmed/19912653,176,ACAN,6544975|14012420,PMC3003500,18628692|19912653,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,176,ACAN,https://ctdbase.org/detail.go?type=gene&acc=176,Simvastatin,10116,Rattus norvegicus (Norway rat)
Mevalonic acid inhibits the reaction [simvastatin results in increased expression of ACAN mrna]|nog inhibits the reaction [simvastatin results in increased expression of ACAN mrna],,,54454,"Zhang H, Lin CY. Simvastatin stimulates chondrogenic phenotype of intervertebral disc cells partially through BMP-2 pathway. Spine (Phila Pa 1976). 2008 Jul 15;33(16):E525–31. doi: 10.1097/brs.0b013e31817c561b. PMID: 18628692.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18628692,https://www.ncbi.nlm.nih.gov/pubmed/18628692,176,ACAN,6544975,,18628692,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,176,ACAN,https://ctdbase.org/detail.go?type=gene&acc=176,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in decreased expression of AGER protein|simvastatin inhibits the reaction [lipopolysaccharides results in increased expression of AGER protein],,,54454,"Cuccurullo C, Iezzi A, Fazia ML, De Cesare D, Di Francesco A, Muraro R, Bei R, Ucchino S, Spigonardo F, Chiarelli F, Schmidt AM, Cuccurullo F, Mezzetti A, Cipollone F. Suppression of RAGE as a basis of simvastatin-dependent plaque stabilization in type 2 diabetes. Arterioscler Thromb Vasc Biol. 2006 Dec;26(12):2716–23. doi: 10.1161/01.atv.0000249630.02085.12. PMID: 17038636.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:17038636,https://www.ncbi.nlm.nih.gov/pubmed/17038636,177,AGER,6520377,,17038636,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,177,AGER,https://ctdbase.org/detail.go?type=gene&acc=177,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of AGER,,,54454,"András IE, Eum SY, Huang W, Zhong Y, Hennig B, Toborek M. HIV-1-induced amyloid beta accumulation in brain endothelial cells is attenuated by simvastatin. Molecular and Cellular Neuroscience. 2010 Feb;43(2):232–43. doi: 10.1016/j.mcn.2009.11.004.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:19944163,https://www.ncbi.nlm.nih.gov/pubmed/19944163,177,AGER,4453590,PMC2818553,19944163,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,177,AGER,https://ctdbase.org/detail.go?type=gene&acc=177,Simvastatin,9606,Homo sapiens (human)
Simvastatin inhibits the reaction [AGT results in increased activity of RAC1 protein],,,54454,"Marino F, Guasti L, Cosentino M, Ferrari M, Rasini E, Maio RC, Cimpanelli MG, Cereda E, Crespi C, Simoni C, Restelli D, Venco A, Lecchini S. Angiotensin II type 1 receptor expression in polymorphonuclear leukocytes from high-risk subjects: changes after treatment with simvastatin. J Cardiovasc Pharmacol. 2007 May;49(5):299–305. doi: 10.1097/fjc.0b013e31803d35ce. PMID: 17513949.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:17513949,https://www.ncbi.nlm.nih.gov/pubmed/17513949,183,AGT,27503185,,17513949,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,183,AGT,https://ctdbase.org/detail.go?type=gene&acc=183,Simvastatin,9606,Homo sapiens (human)
Simvastatin inhibits the reaction [AGT protein results in increased phosphorylation of and affects the localization of PXN protein]|mevalonic acid inhibits the reaction [simvastatin inhibits the reaction [AGT protein results in increased phosphorylation of PXN protein]],,,54454,"Copaja M, Venegas D, Aranguiz P, Canales J, Vivar R, Avalos Y, Garcia L, Chiong M, Olmedo I, Catalán M, Leyton L, Lavandero S, Díaz-Araya G. Simvastatin disrupts cytoskeleton and decreases cardiac fibroblast adhesion, migration and viability. Toxicology. 2012 Mar 29;294(1):42–9. doi: 10.1016/j.tox.2012.01.011. PMID: 22306966.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:22306966,https://www.ncbi.nlm.nih.gov/pubmed/22306966,183,AGT,7990837,,22306966,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,183,AGT,https://ctdbase.org/detail.go?type=gene&acc=183,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin inhibits the reaction [CTF1 results in increased expression of AGT mrna],,,54454,"Wu Y, Liu J. [Simvastatin attenuated cardiac hypertrophy via inhibiting JAK-STAT pathways]. Zhonghua Xin Xue Guan Bing Za Zhi. 2008 Aug;36(8):738–43. PMID: 19100119.|Liu J, Shen Q, Wu Y. Simvastatin prevents cardiac hypertrophy in vitro and in vivo via JAK/STAT pathway. Life Sci. 2008 May 07;82(19-20):991–6. doi: 10.1016/j.lfs.2008.02.012. PMID: 18400235.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18400235|PMID:19100119,https://www.ncbi.nlm.nih.gov/pubmed/18400235|https://www.ncbi.nlm.nih.gov/pubmed/19100119,183,AGT,8600364|27526005,,18400235|19100119,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,183,AGT,https://ctdbase.org/detail.go?type=gene&acc=183,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in decreased expression of AGT mRNA,,,54454,"Marino F, Guasti L, Cosentino M, Rasini E, Ferrari M, Maio RC, Loraschi A, Cimpanelli MG, Schembri L, Legnaro M, Molteni E, Crespi C, Crema F, Venco A, Lecchini S. Simvastatin treatment in subjects at high cardiovascular risk modulates AT1R expression on circulating monocytes and T lymphocytes. J Hypertens. 2008 Jun;26(6):1147–55. doi: 10.1097/hjh.0b013e3282f97dde. PMID: 18475152.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18475152,https://www.ncbi.nlm.nih.gov/pubmed/18475152,183,AGT,17339500,,18475152,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,183,AGT,https://ctdbase.org/detail.go?type=gene&acc=183,Simvastatin,9606,Homo sapiens (human)
