action,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Ginsenoside rb1 results in increased phosphorylation of AKT1 protein|pertussis toxin inhibits the reaction [ginsenoside rb1 results in increased phosphorylation of AKT1 protein]|2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [ginsenoside rb1 results in increased phosphorylation of AKT1 protein]|fulvestrant inhibits the reaction [ginsenoside rb1 results in increased phosphorylation of AKT1 protein],9898279,"Hwang YP, Jeong HG. Ginsenoside Rb1 protects against 6-hydroxydopamine-induced oxidative stress by increasing heme oxygenase-1 expression through an estrogen receptor-related PI3K/Akt/Nrf2-dependent pathway in human dopaminergic cells. Toxicol Appl Pharmacol. 2010 Jan 01;242(1):18–28. doi: 10.1016/j.taap.2009.09.009. PMID: 19781563.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:19781563,https://www.ncbi.nlm.nih.gov/pubmed/19781563,207,AKT1,28867610,,19781563,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,207,AKT1,https://ctdbase.org/detail.go?type=gene&acc=207,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of ATP6V1A mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,523,ATP6V1A,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,523,ATP6V1A,https://ctdbase.org/detail.go?type=gene&acc=523,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of ATP6V1B2 mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,526,ATP6V1B2,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,526,ATP6V1B2,https://ctdbase.org/detail.go?type=gene&acc=526,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [aluminum chloride results in decreased expression of BMP2 mrna]|ginsenoside rb1 results in increased expression of BMP2 mRNA,9898279,"Zhu Y, Hu C, Zheng P, Miao L, Yan X, Li H, Wang Z, Gao B, Li Y. Ginsenoside Rb1 alleviates aluminum chloride-induced rat osteoblasts dysfunction. Toxicology. 2016 Aug 10;368-369():183–8. doi: 10.1016/j.tox.2016.07.014. PMID: 27470910.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:27470910,https://www.ncbi.nlm.nih.gov/pubmed/27470910,650,BMP2,30374170,,27470910,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,650,BMP2,https://ctdbase.org/detail.go?type=gene&acc=650,10116,Rattus norvegicus (Norway rat)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased cleavage of CASP1 protein]|cyclosporine inhibits the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased cleavage of CASP1 protein]],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,834,CASP1,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,834,CASP1,https://ctdbase.org/detail.go?type=gene&acc=834,10090,Mus musculus (house mouse)
Ginsenoside rb1 inhibits the reaction [oxidopamine results in increased activity of CASP3 protein],9898279,"Hwang YP, Jeong HG. Ginsenoside Rb1 protects against 6-hydroxydopamine-induced oxidative stress by increasing heme oxygenase-1 expression through an estrogen receptor-related PI3K/Akt/Nrf2-dependent pathway in human dopaminergic cells. Toxicol Appl Pharmacol. 2010 Jan 01;242(1):18–28. doi: 10.1016/j.taap.2009.09.009. PMID: 19781563.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:19781563,https://www.ncbi.nlm.nih.gov/pubmed/19781563,836,CASP3,28867610,,19781563,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,836,CASP3,https://ctdbase.org/detail.go?type=gene&acc=836,9606,Homo sapiens (human)
Ginsenoside rb1 results in increased expression of RUNX2 mrna|ginsenoside rb1 inhibits the reaction [aluminum chloride results in decreased expression of RUNX2 mrna],9898279,"Zhu Y, Hu C, Zheng P, Miao L, Yan X, Li H, Wang Z, Gao B, Li Y. Ginsenoside Rb1 alleviates aluminum chloride-induced rat osteoblasts dysfunction. Toxicology. 2016 Aug 10;368-369():183–8. doi: 10.1016/j.tox.2016.07.014. PMID: 27470910.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:27470910,https://www.ncbi.nlm.nih.gov/pubmed/27470910,860,RUNX2,30374170,,27470910,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,860,RUNX2,https://ctdbase.org/detail.go?type=gene&acc=860,10116,Rattus norvegicus (Norway rat)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of CLCN7 mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,1186,CLCN7,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,1186,CLCN7,https://ctdbase.org/detail.go?type=gene&acc=1186,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of CTSB mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,1508,CTSB,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,1508,CTSB,https://ctdbase.org/detail.go?type=gene&acc=1508,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of CTSD mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,1509,CTSD,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,1509,CTSD,https://ctdbase.org/detail.go?type=gene&acc=1509,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [TNFSF11 protein results in increased expression of FOS mrna],9898279,"Cheng B, Li J, Du J, Lv X, Weng L, Ling C. Ginsenoside Rb1 inhibits osteoclastogenesis by modulating NF-?B and MAPKs pathways. Food Chem Toxicol. 2012 May;50(5):1610–5. doi: 10.1016/j.fct.2012.02.019. PMID: 22386813.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:22386813,https://www.ncbi.nlm.nih.gov/pubmed/22386813,2353,FOS,24902658,,22386813,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,2353,FOS,https://ctdbase.org/detail.go?type=gene&acc=2353,10090,Mus musculus (house mouse)
[astragaloside A co-treated with ginsenoside rg1 co-treated with ginsenoside rb1 co-treated with notoginsenoside R1] results in increased expression of HMOX1 protein|[astragaloside A co-treated with ginsenoside rg1 co-treated with ginsenoside rb1 co-treated with notoginsenoside R1] results in increased expression of HMOX1 mRNA,9898279,"Huang XP, Qiu YY, Wang B, Ding H, Tang YH, Zeng R, Deng CQ. Effects of Astragaloside IV combined with the active components of Panax notoginseng on oxidative stress injury and nuclear factor-erythroid 2-related factor 2/heme oxygenase-1 signaling pathway after cerebral ischemia-reperfusion in mice. Pharmacogn Mag. 2014 Oct;10(40):402–9. PMID: 25422538; PMCID: PMC4239715.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:25422538,https://www.ncbi.nlm.nih.gov/pubmed/25422538,3162,HMOX1,15457008,PMC4239715,25422538,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3162,HMOX1,https://ctdbase.org/detail.go?type=gene&acc=3162,10090,Mus musculus (house mouse)
2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [ginsenoside rb1 results in increased expression of HMOX1 protein]|ginsenoside rb1 results in increased expression of and results in increased activity of HMOX1 protein|pertussis toxin inhibits the reaction [ginsenoside rb1 results in increased expression of HMOX1 protein]|pertussis toxin inhibits the reaction [ginsenoside rb1 results in increased expression of HMOX1 mrna]|cycloheximide inhibits the reaction [ginsenoside rb1 results in increased expression of HMOX1 mrna]|cycloheximide inhibits the reaction [ginsenoside rb1 results in increased expression of HMOX1 protein]|fulvestrant inhibits the reaction [ginsenoside rb1 results in increased expression of HMOX1 mrna]|fulvestrant inhibits the reaction [ginsenoside rb1 results in increased expression of HMOX1 protein]|dactinomycin inhibits the reaction [ginsenoside rb1 results in increased expression of HMOX1 mrna]|ginsenoside rb1 results in increased expression of HMOX1 mrna|dactinomycin inhibits the reaction [ginsenoside rb1 results in increased expression of HMOX1 protein],9898279,"Hwang YP, Jeong HG. Ginsenoside Rb1 protects against 6-hydroxydopamine-induced oxidative stress by increasing heme oxygenase-1 expression through an estrogen receptor-related PI3K/Akt/Nrf2-dependent pathway in human dopaminergic cells. Toxicol Appl Pharmacol. 2010 Jan 01;242(1):18–28. doi: 10.1016/j.taap.2009.09.009. PMID: 19781563.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:19781563,https://www.ncbi.nlm.nih.gov/pubmed/19781563,3162,HMOX1,28867610,,19781563,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3162,HMOX1,https://ctdbase.org/detail.go?type=gene&acc=3162,9606,Homo sapiens (human)
Ginsenoside rb1 results in increased expression of IGF1 mrna|ginsenoside rb1 inhibits the reaction [aluminum chloride results in decreased expression of IGF1 mrna],9898279,"Zhu Y, Hu C, Zheng P, Miao L, Yan X, Li H, Wang Z, Gao B, Li Y. Ginsenoside Rb1 alleviates aluminum chloride-induced rat osteoblasts dysfunction. Toxicology. 2016 Aug 10;368-369():183–8. doi: 10.1016/j.tox.2016.07.014. PMID: 27470910.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:27470910,https://www.ncbi.nlm.nih.gov/pubmed/27470910,3479,IGF1,30374170,,27470910,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3479,IGF1,https://ctdbase.org/detail.go?type=gene&acc=3479,10116,Rattus norvegicus (Norway rat)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased secretion of IL1B protein]|ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased expression of and results in increased secretion of IL1B protein],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,3553,IL1B,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3553,IL1B,https://ctdbase.org/detail.go?type=gene&acc=3553,10090,Mus musculus (house mouse)
Ginsenoside rb1 inhibits the reaction [lipopolysaccharides results in increased secretion of IL6 protein],9898279,"Sun K, Wang CS, Guo J, Horie Y, Fang SP, Wang F, Liu YY, Liu LY, Yang JY, Fan JY, Han JY. Protective effects of ginsenoside Rb1, ginsenoside Rg1, and notoginsenoside R1 on lipopolysaccharide-induced microcirculatory disturbance in rat mesentery. Life Sci. 2007 Jul 19;81(6):509–18. doi: 10.1016/j.lfs.2007.06.008. PMID: 17655881.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:17655881,https://www.ncbi.nlm.nih.gov/pubmed/17655881,3569,IL6,25515255,,17655881,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3569,IL6,https://ctdbase.org/detail.go?type=gene&acc=3569,10116,Rattus norvegicus (Norway rat)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased expression of and results in increased secretion of IL18 protein]|ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased secretion of IL18 protein],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,3606,IL18,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3606,IL18,https://ctdbase.org/detail.go?type=gene&acc=3606,10090,Mus musculus (house mouse)
Ginsenoside rb1 inhibits the reaction [lipopolysaccharides results in increased expression of ITGAM protein],9898279,"Sun K, Wang CS, Guo J, Horie Y, Fang SP, Wang F, Liu YY, Liu LY, Yang JY, Fan JY, Han JY. Protective effects of ginsenoside Rb1, ginsenoside Rg1, and notoginsenoside R1 on lipopolysaccharide-induced microcirculatory disturbance in rat mesentery. Life Sci. 2007 Jul 19;81(6):509–18. doi: 10.1016/j.lfs.2007.06.008. PMID: 17655881.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:17655881,https://www.ncbi.nlm.nih.gov/pubmed/17655881,3684,ITGAM,25515255,,17655881,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3684,ITGAM,https://ctdbase.org/detail.go?type=gene&acc=3684,10116,Rattus norvegicus (Norway rat)
Ginsenoside rb1 inhibits the reaction [lipopolysaccharides results in increased expression of ITGB2 protein],9898279,"Sun K, Wang CS, Guo J, Horie Y, Fang SP, Wang F, Liu YY, Liu LY, Yang JY, Fan JY, Han JY. Protective effects of ginsenoside Rb1, ginsenoside Rg1, and notoginsenoside R1 on lipopolysaccharide-induced microcirculatory disturbance in rat mesentery. Life Sci. 2007 Jul 19;81(6):509–18. doi: 10.1016/j.lfs.2007.06.008. PMID: 17655881.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:17655881,https://www.ncbi.nlm.nih.gov/pubmed/17655881,3689,ITGB2,25515255,,17655881,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3689,ITGB2,https://ctdbase.org/detail.go?type=gene&acc=3689,10116,Rattus norvegicus (Norway rat)
Ginsenoside rb1 results in increased expression of KCNE1,9898279,"Kim YY, Ku JB, Liu HC, Ku SY, Kim SH, Choi YM. Ginsenosides may enhance the functionality of human embryonic stem cell-derived cardiomyocytes in vitro. Reprod Sci. 2014 Oct;21(10):1312–8. doi: 10.1177/1933719114525269. PMID: 24615935.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:24615935,https://www.ncbi.nlm.nih.gov/pubmed/24615935,3753,KCNE1,33002937,,24615935,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3753,KCNE1,https://ctdbase.org/detail.go?type=gene&acc=3753,9606,Homo sapiens (human)
Ginsenoside rb1 affects the activity of KCNH2 protein,9898279,"Kim CS, Son SJ, Kim HS, Kim YD, Lee KS, Jeon BH, Kim KJ, Park JK, Park JB. Modulating effect of ginseng saponins on heterologously expressed HERG currents in Xenopus oocytes. Acta Pharmacol Sin. 2005 May;26(5):551–8. doi: 10.1111/j.1745-7254.2005.00116.x. PMID: 15842772.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:15842772,https://www.ncbi.nlm.nih.gov/pubmed/15842772,3757,KCNH2,7860078,,15842772,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3757,KCNH2,https://ctdbase.org/detail.go?type=gene&acc=3757,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of LAMP1 mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,3916,LAMP1,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,3916,LAMP1,https://ctdbase.org/detail.go?type=gene&acc=3916,9606,Homo sapiens (human)
